=== Log Start ===
2024/10/20 00:13:39: [Log] _signalPool: SignalPool (SignalPool)
2024/10/20 00:13:39: [Log] _uiManager: UI Manager (UIManager)
2024/10/20 00:13:39: [Log] Changing state from  to SceneSetupSstate
2024/10/20 00:13:39: [Log] 新しいシーンを読み込み中。。。。
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 00:13:41: [Log] <color=yellow>Current State: SceneSetupSstate</color>
