=== Log Start ===
2024/10/20 05:24:52: [Log] _signalPool: SignalPool (SignalPool)
2024/10/20 05:24:52: [Log] _uiManager: UI Manager (UIManager)
2024/10/20 05:24:52: [Log] Changing state from SceneSetupSstate to SceneSetupSstate
2024/10/20 05:24:52: [Log] イベントをポップしています: StateChanged
2024/10/20 05:24:52: [Log] SceneSetupSstateを離脱します
2024/10/20 05:24:52: [Log] 新しいシーンを読み込み中。。。。
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
2024/10/20 05:24:54: [Log] <color=yellow>Current State: SceneSetupSstate</color>
